text,label
"Félicitations ! Vous avez gagné un bon d'achat de 500 euros. Cliquez ici : http://bit.ly/gain-urgent",1
"Salut, on se retrouve à la bibliothèque à 15h pour bosser sur le projet ?",0
"URGENT: Votre compte bancaire est temporairement suspendu. Vérifiez vos identifiants : http://secure-login-bank.net",1
"N'oublie pas d'envoyer le compte-rendu de la réunion avant demain midi merci.",0
"Votre colis n'a pas pu être livré. Réglez 2.99€ via http://suivi-colis-express.com",1
"Je t'ai partagé les slides sur Google Drive, dis-moi ce que tu en penses.",0
"Alerte sécurité : Tentative de connexion suspecte. Confirmez votre mot de passe.",1
"Est-ce que le cours de demain matin est maintenu ?",0
"Congratulations! You have won a $1000 gift card. Claim now at http://free-gift-promo.xyz",1
"Hey, are we still meeting at 4 PM for the study session?",0
